group;cluster;length;end to end distance;ratio
Mutant;2;8.05471421105084;4.98655900477674;0.619085776865344
Mutant;2;8.04782001282288;3.8656752958998;0.480338189688696
Mutant;2;7.80375445846823;4.46370241528039;0.571994216250181
Mutant;2;8.18751069965482;5.19915649214572;0.635010650106987
Mutant;2;7.82443518608446;2.70550648549957;0.34577658593316
Mutant;2;7.34498530902889;6.42651453497169;0.874952673774832
Mutant;2;8.37088689598911;7.35620870317495;0.878784864086464
Mutant;2;7.39644790119633;6.09853675637312;0.824522370445781
Mutant;2;7.50813295989721;6.3103562553077;0.840469433481383
Mutant;2;8.49753303051078;7.77658900010526;0.915158431533372
Mutant;2;10.0151298657929;4.84836447340699;0.48410400447894
Mutant;2;8.98671846287328;6.25028633224671;0.695502630695335
Mutant;2;6.47509703083628;6.17671618522231;0.95391870667065
