"mouse";"Set ID";"FITC Rank";"Lgth Rank";"Rel len";"Total Len";"Len";"No_foci";"F1";"F2";"round F1";"round F2"
2;"m2-2 s40";9;10;0.0540843092;185.49;10.03;1;0.72;;0.72;
2;"m2-2 s40";10;8;0.0565761268;185.49;10.49;1;0.86;;0.86;
2;"m2-2 s40";11;7;0.0575800295;185.49;10.68;2;0.27;0.99;0.27;0.99
2;"m2-2 s40";12;13;0.0431987746;185.49;8.01;1;0.37;;0.37;
2;"m2-2 s40";13;15;0.0414750716;185.49;7.69;1;0.80;;0.8;
2;"m2-2 s40";14;14;0.0419353310;185.49;7.78;1;0.63;;0.63;
2;"m2-2 s40";15;16;0.0406989878;185.49;7.55;1;0.98;;0.98;
2;"m2-2 s40";16;18;0.0363623716;185.49;6.74;1;0.57;;0.57;
2;"m2-2 s40";17;12;0.0459768462;185.49;8.53;1;0.74;;0.74;
2;"m2-2 s40";18;17;0.0365425820;185.49;6.78;1;0.82;;0.82;
2;"m2-2 s40";19;19;0.0311188857;185.49;5.77;1;0.97;;0.97;
2;"m2-2 s41";1;6;0.0595977012;197.26;11.76;2;0.29;0.80;0.29;0.8
2;"m2-2 s41";2;4;0.0778904176;197.26;15.36;2;0.07;0.87;0.07;0.87
2;"m2-2 s41";3;3;0.0795072027;197.26;15.68;1;0.59;;0.59;
2;"m2-2 s41";4;5;0.0713094435;197.26;14.07;1;0.16;;0.16;
2;"m2-2 s41";5;1;0.0834528918;197.26;16.46;1;0.32;;0.32;
2;"m2-2 s41";6;7;0.0552746943;197.26;10.90;1;0.80;;0.8;
2;"m2-2 s41";7;8;0.0544679445;197.26;10.74;1;0.51;;0.51;
2;"m2-2 s41";8;9;0.0513584854;197.26;10.13;2;0.09;0.92;0.09;0.92
2;"m2-2 s41";9;11;0.0455224200;197.26;8.98;1;0.83;;0.83;
2;"m2-2 s41";10;10;0.0463496594;197.26;9.14;1;0.91;;0.91;
2;"m2-2 s41";11;2;0.0814181738;197.26;16.06;1;0.56;;0.56;
2;"m2-2 s41";12;13;0.0414297027;197.26;8.17;1;0.87;;0.87;
2;"m2-2 s41";13;15;0.0399379350;197.26;7.88;1;0.62;;0.62;
2;"m2-2 s41";14;12;0.0417315197;197.26;8.23;1;0.85;;0.85;
2;"m2-2 s41";15;16;0.0380369092;197.26;7.50;1;0.26;;0.26;
2;"m2-2 s41";16;17;0.0345061508;197.26;6.81;1;0.49;;0.49;
2;"m2-2 s41";17;14;0.0401635229;197.26;7.92;1;0.16;;0.16;
2;"m2-2 s41";18;18;0.0297331576;197.26;5.87;1;0.71;;0.71;
2;"m2-2 s41";19;19;0.0283120677;197.26;5.58;1;0.96;;0.96;
2;"m2-2 s43";1;4;0.0732729949;148.23;10.86;1;0.59;;0.59;
2;"m2-2 s43";2;5;0.0728515910;148.23;10.80;2;0.21;0.87;0.21;0.87
2;"m2-2 s43";3;9;0.0534390028;148.23;7.92;1;0.98;;0.98;
2;"m2-2 s43";4;2;0.0803188136;148.23;11.91;1;0.72;;0.72;
2;"m2-2 s43";5;11;0.0489063265;148.23;7.25;2;0.22;0.80;0.22;0.8
2;"m2-2 s43";6;12;0.0436657645;148.23;6.47;1;0.45;;0.45;
2;"m2-2 s43";7;3;0.0746908878;148.23;11.07;2;0.28;0.93;0.28;0.93
2;"m2-2 s43";8;10;0.0496645347;148.23;7.36;2;0.19;0.57;0.19;0.57
2;"m2-2 s43";9;6;0.0619926014;148.23;9.19;1;0.29;;0.29;
2;"m2-2 s43";10;13;0.0422158991;148.23;6.26;2;0.34;0.99;0.34;0.99
2;"m2-2 s43";11;1;0.0817337774;148.23;12.12;1;0.70;;0.7;
2;"m2-2 s43";12;8;0.0561420526;148.23;8.32;1;0.82;;0.82;
2;"m2-2 s43";13;7;0.0563992649;148.23;8.36;1;0.88;;0.88;
2;"m2-2 s43";14;14;0.0402427679;148.23;5.97;2;0.20;0.97;0.2;0.97
2;"m2-2 s43";15;15;0.0382342936;148.23;5.67;1;0.25;;0.25;
2;"m2-2 s43";16;18;0.0333105814;148.23;4.94;1;0.80;;0.8;
2;"m2-2 s43";17;16;0.0366811341;148.23;5.44;1;0.69;;0.69;
2;"m2-2 s43";18;17;0.0349195017;148.23;5.18;1;0.98;;0.98;
2;"m2-2 s43";19;19;0.0213182100;148.23;3.16;1;0.87;;0.87;
2;"m2-2 s44 bot";1;2;0.0715788668;206.19;14.76;1;0.49;;0.49;
2;"m2-2 s44 bot";2;1;0.0751983348;206.19;15.51;2;0.07;0.62;0.07;0.62
2;"m2-2 s44 bot";3;10;0.0549398167;206.19;11.33;1;0.93;;0.93;
2;"m2-2 s44 bot";4;5;0.0626900519;206.19;12.93;2;0.19;0.97;0.19;0.97
2;"m2-2 s44 bot";5;4;0.0628291198;206.19;12.95;1;0.80;;0.8;
2;"m2-2 s44 bot";6;7;0.0574120726;206.19;11.84;1;0.62;;0.62;
2;"m2-2 s44 bot";7;3;0.0680717262;206.19;14.04;1;0.35;;0.35;
2;"m2-2 s44 bot";8;8;0.0559623453;206.19;11.54;2;0.40;0.91;0.4;0.91
2;"m2-2 s44 bot";9;11;0.0542507555;206.19;11.19;2;0.19;0.96;0.19;0.96
2;"m2-2 s44 bot";10;9;0.0554977067;206.19;11.44;2;0.39;0.95;0.39;0.95
2;"m2-2 s44 bot";11;6;0.0615371572;206.19;12.69;2;0.37;0.95;0.37;0.95
2;"m2-2 s44 bot";12;13;0.0454667041;206.19;9.37;2;0.72;0.79;0.72;0.79
2;"m2-2 s44 bot";13;14;0.0449343005;206.19;9.27;1;0.92;;0.92;
2;"m2-2 s44 bot";14;12;0.0458596914;206.19;9.46;1;0.83;;0.83;
2;"m2-2 s44 bot";15;15;0.0431843960;206.19;8.90;1;0.99;;0.99;
2;"m2-2 s44 bot";16;17;0.0358530216;206.19;7.39;1;0.94;;0.94;
2;"m2-2 s44 bot";17;16;0.0413642956;206.19;8.53;1;0.54;;0.54;
2;"m2-2 s44 bot";18;18;0.0342099787;206.19;7.05;1;0.70;;0.7;
2;"m2-2 s44 bot";19;19;0.0291596582;206.19;6.01;1;0.99;;0.99;
2;"m2-2 s44 top";1;2;0.0732658700;198.64;14.55;1;0.46;;0.46;
2;"m2-2 s44 top";2;1;0.0783479754;198.64;15.56;2;0.10;0.84;0.1;0.84
